POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
304, 32, 42.861, 0, 139, 126, 29, 112, 26
305, 33, 41.6127, 0, 139, 126, 30, 112, 28
306, 32, 39.1296, 0, 139, 126, 30, 112, 27
307, 33, 35.0043, 0, 139, 126, 30, 112, 28
308, 32, 34.027, 0, 139, 126, 29, 112, 27
309, 33, 32.4573, 0, 139, 126, 30, 112, 27
310, 33, 34.1382, 0, 139, 126, 30, 112, 27
311, 33, 29.9521, 0, 139, 126, 30, 112, 27
312, 29, 40.1423, 0, 139, 126, 24, 112, 22
313, 30, 29.6316, 0, 139, 126, 26, 112, 24
314, 30, 28.9346, 0, 139, 126, 26, 112, 24
315, 31, 29.9162, 0, 139, 126, 26, 112, 25
316, 31, 29.9503, 0, 139, 126, 26, 112, 25
317, 31, 38.9179, 0, 139, 126, 27, 112, 25
318, 31, 38.0152, 0, 139, 126, 27, 112, 25
319, 31, 36.1422, 0, 139, 126, 27, 112, 25
320, 31, 37.336, 0, 139, 126, 28, 112, 25
321, 31, 35.75, 0, 139, 125, 28, 112, 25
322, 31, 31.4189, 0, 139, 125, 28, 112, 25
323, 31, 32.6985, 0, 139, 126, 28, 112, 25
324, 31, 30.7087, 0, 139, 126, 28, 111, 24
325, 31, 33.0995, 0, 139, 126, 28, 112, 24
326, 30, 27.7897, 0, 139, 125, 28, 112, 24
327, 30, 25.7636, 0, 139, 125, 27, 112, 24
328, 30, 29.5158, 0, 139, 125, 27, 112, 24
329, 31, 31.799, 0, 139, 126, 28, 112, 25
330, 30, 33.797, 0, 138, 126, 28, 112, 25
331, 31, 28.6257, 0, 138, 126, 28, 112, 25
332, 30, 36.8533, 0, 138, 126, 28, 112, 25
333, 31, 28.1476, 0, 138, 126, 28, 112, 26
334, 30, 31.0973, 0, 138, 126, 28, 112, 25
335, 31, 56.3802, 0, 138, 126, 28, 112, 26
336, 28, 75.5079, 0, 138, 126, 25, 112, 23
337, 29, 68.9672, 0, 138, 126, 26, 112, 24
338, 29, 45.9334, 0, 138, 126, 27, 112, 25
339, 30, 54.3712, 0, 138, 126, 27, 112, 25
