ScenarioID,Device,OS,Content,Codec,ServedBitrate,SegmentLength,FrameRate,PlayerName,GPU,NICType,Bandwidth,Metric
769bcb13eebb4a8f99e6704142289be8,laptop,windows-10,Lifting_Off,x264,4,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
efe4d49abbc949b180fed1185f483fd3,laptop,windows-10,Lifting_Off,x264,5,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
4c69a1bd80df4d75a6c2664add642d3f,laptop,windows-10,Lifting_Off,x264,6,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
3447220c9da442c6890705db39c3b1f0,laptop,windows-10,Lifting_Off,x264,7,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
ecc3c3fa5b6d451ca87ecbda921d0156,laptop,windows-10,Lifting_Off,x264,8,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
5aecca0c997b4db094c1a012857b5294,laptop,windows-10,Lifting_Off,x264,9,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
a158c9f20f9148b1851bd547e5216a42,laptop,windows-10,Lifting_Off,x264,10,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
e50f3e7ddc1c4965a82372103ccd8617,laptop,windows-10,Lifting_Off,x264,11,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
bb08f601ce014a558a109c2c17b47967,laptop,windows-10,Lifting_Off,x264,12,8s,24,dashjs,enabled,localhost,-,Ren./Dec.
8507b16bf1184e0ea58cd6f83ebabee9,laptop,windows-10,Lifting_Off,x264,1,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
98bb8a066cc9495fa8df459a0b293152,laptop,windows-10,Lifting_Off,x264,2,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
883affe8a8234447af7acef79eb5453f,laptop,windows-10,Lifting_Off,x264,3,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
94c4e8842c4b4662b3bbbf1740315cc1,laptop,windows-10,Lifting_Off,x264,4,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
e7ffc888f18d441c9eda5b39e238b53e,laptop,windows-10,Lifting_Off,x264,5,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
8d43b341c4ea426a8496887a0a26aa1b,laptop,windows-10,Lifting_Off,x264,6,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
48ec68fe670341fe8942557422b5af38,laptop,windows-10,Lifting_Off,x264,7,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
83425f40ab664e3e84399da9834a5fac,laptop,windows-10,Lifting_Off,x264,8,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
d20a71909c934d35ba5fa9f7eb0a1874,laptop,windows-10,Lifting_Off,x264,9,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
0ac1f71e840343619b1b3d8f435bf062,laptop,windows-10,Lifting_Off,x264,10,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
8fef4eefc9454eb5b98934fff35829dd,laptop,windows-10,Lifting_Off,x264,11,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
d3b7df8e4cfd4e579dab86d4448cddcf,laptop,windows-10,Lifting_Off,x264,12,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
6abc8c2084724e9caf2ed8f191589446,laptop,windows-10,Lifting_Off,x265,1,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
205f1169e1fa46798150dc676cfc07f3,laptop,windows-10,Lifting_Off,x265,2,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
9365477edd1849ffac14866715f1e580,laptop,windows-10,Lifting_Off,x265,3,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
9ea6a9cbb3e147409674d41dc7de85e6,laptop,windows-10,Lifting_Off,x265,4,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
3d8ae4fc306c46dfa63f693656d7a819,laptop,windows-10,Lifting_Off,x265,5,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
10586313fdc944f4b3c132101899b5ef,laptop,windows-10,Lifting_Off,x265,6,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
cf0817002b994a9294e5c41d7727061b,laptop,windows-10,Lifting_Off,x265,7,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
9dea76940da8480199b39bdd9a4c10c2,laptop,windows-10,Lifting_Off,x265,8,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
c874b148822f4d7f93950944bb4f899e,laptop,windows-10,Lifting_Off,x265,9,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
7724f9ea11cb4ebb96e487499df6a49f,laptop,windows-10,Lifting_Off,x265,10,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
b889e2c2f0d14ee58df1bfc44555d80f,laptop,windows-10,Lifting_Off,x265,11,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
b0e5e747ce0248a0958ee201e94e1ce2,laptop,windows-10,Lifting_Off,x265,12,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
f53d3b053660445ea4a687487c3277b0,laptop,windows-10,Lifting_Off,x265,1,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
9955d3955547473da8d8c4e8d3e3b051,laptop,windows-10,Lifting_Off,x265,2,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
8238ec3918c94a8fb1f922c185456bb5,laptop,windows-10,Lifting_Off,x265,3,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
b5d5bd5883f74a039b75adaeb14e6682,laptop,windows-10,Lifting_Off,x265,4,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
b1568496e9c54d40846ee4451d1d702c,laptop,windows-10,Lifting_Off,x265,5,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
d0839e9bfaac47de854e775aff0d7683,laptop,windows-10,Lifting_Off,x265,6,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
9bad10294a924f52a1fb34c05432cfae,laptop,windows-10,Lifting_Off,x265,7,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
88347bd8b5894c4e98615f506493aa3b,laptop,windows-10,Lifting_Off,x265,8,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
48c25eb0274445fba109b3329ed129c0,laptop,windows-10,Lifting_Off,x265,9,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
137fc951167745e886b47539fd6eab9d,laptop,windows-10,Lifting_Off,x265,10,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
74aa47ef4ec24119983c72724988fa84,laptop,windows-10,Lifting_Off,x265,11,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
00538ad104ba450f9ecb1a4a64febc5e,laptop,windows-10,Lifting_Off,x265,12,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
7ad8822d38ca4c578a9681e9c63b949d,laptop,windows-10,Lifting_Off,x265,1,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
